,data,id_reservatorio,nome_reservatorio,afluencia,bacia,rio,estado_sigla
0,2000-01-01,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
1,2000-01-03,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
2,2000-01-04,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
3,2000-01-05,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
4,2000-01-06,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
5,2000-01-07,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
6,2000-01-08,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
7,2000-01-14,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
8,2000-01-17,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
9,2000-01-19,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
10,2000-01-20,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
11,2000-01-21,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
12,2000-01-25,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
13,2000-01-27,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
14,2000-01-29,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
15,2000-01-31,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
16,2000-02-02,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
17,2000-02-07,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
18,2000-02-08,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
19,2000-02-09,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
20,2000-02-10,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
21,2000-02-12,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
22,2000-02-13,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
23,2000-02-14,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
24,2000-02-15,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
25,2000-02-17,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
26,2000-02-20,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
27,2000-02-23,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
28,2000-02-25,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
29,2000-02-26,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
30,2000-02-28,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
31,2000-02-29,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
32,2000-03-01,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
33,2000-03-02,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
34,2000-03-05,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
35,2000-03-06,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
36,2000-03-08,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
37,2000-03-16,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
38,2000-03-17,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
39,2000-03-18,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
