,data,id_reservatorio,nome_reservatorio,afluencia,bacia,rio,estado_sigla,ano,mes
1122646,2000-01-01,19128,SERRA DA MESA,1570.0,TOCANTINS,TOCANTINS,GO,2000,1
1122647,2000-01-02,19128,SERRA DA MESA,2070.94,TOCANTINS,TOCANTINS,GO,2000,1
1122648,2000-01-03,19128,SERRA DA MESA,2927.0,TOCANTINS,TOCANTINS,GO,2000,1
1122649,2000-01-06,19128,SERRA DA MESA,2379.0,TOCANTINS,TOCANTINS,GO,2000,1
1122650,2000-01-09,19128,SERRA DA MESA,3050.0,TOCANTINS,TOCANTINS,GO,2000,1
1122651,2000-01-10,19128,SERRA DA MESA,2376.0,TOCANTINS,TOCANTINS,GO,2000,1
1122652,2000-01-11,19128,SERRA DA MESA,1749.0,TOCANTINS,TOCANTINS,GO,2000,1
1122653,2000-01-12,19128,SERRA DA MESA,1728.0,TOCANTINS,TOCANTINS,GO,2000,1
1122654,2000-01-13,19128,SERRA DA MESA,1342.0,TOCANTINS,TOCANTINS,GO,2000,1
1122655,2000-01-16,19128,SERRA DA MESA,1026.0,TOCANTINS,TOCANTINS,GO,2000,1
1122656,2000-01-18,19128,SERRA DA MESA,1123.0,TOCANTINS,TOCANTINS,GO,2000,1
1122657,2000-01-20,19128,SERRA DA MESA,1369.0,TOCANTINS,TOCANTINS,GO,2000,1
1122658,2000-01-21,19128,SERRA DA MESA,1123.0,TOCANTINS,TOCANTINS,GO,2000,1
1122659,2000-01-22,19128,SERRA DA MESA,1872.0,TOCANTINS,TOCANTINS,GO,2000,1
1122660,2000-01-24,19128,SERRA DA MESA,1497.0,TOCANTINS,TOCANTINS,GO,2000,1
1122661,2000-01-25,19128,SERRA DA MESA,2495.0,TOCANTINS,TOCANTINS,GO,2000,1
1122662,2000-01-27,19128,SERRA DA MESA,1523.0,TOCANTINS,TOCANTINS,GO,2000,1
1122663,2000-02-01,19128,SERRA DA MESA,883.0,TOCANTINS,TOCANTINS,GO,2000,2
1122664,2000-02-03,19128,SERRA DA MESA,895.0,TOCANTINS,TOCANTINS,GO,2000,2
1122665,2000-02-07,19128,SERRA DA MESA,3241.0,TOCANTINS,TOCANTINS,GO,2000,2
1122666,2000-02-14,19128,SERRA DA MESA,1983.0,TOCANTINS,TOCANTINS,GO,2000,2
1122667,2000-02-15,19128,SERRA DA MESA,1732.0,TOCANTINS,TOCANTINS,GO,2000,2
1122668,2000-02-17,19128,SERRA DA MESA,1603.0,TOCANTINS,TOCANTINS,GO,2000,2
1122669,2000-02-18,19128,SERRA DA MESA,1315.94,TOCANTINS,TOCANTINS,GO,2000,2
1122670,2000-02-19,19128,SERRA DA MESA,1478.0,TOCANTINS,TOCANTINS,GO,2000,2
1122671,2000-02-20,19128,SERRA DA MESA,1690.0,TOCANTINS,TOCANTINS,GO,2000,2
1122672,2000-02-24,19128,SERRA DA MESA,1354.0,TOCANTINS,TOCANTINS,GO,2000,2
1122673,2000-02-25,19128,SERRA DA MESA,1369.0,TOCANTINS,TOCANTINS,GO,2000,2
1122674,2000-02-26,19128,SERRA DA MESA,1286.0,TOCANTINS,TOCANTINS,GO,2000,2
1122675,2000-02-27,19128,SERRA DA MESA,983.0,TOCANTINS,TOCANTINS,GO,2000,2
1122676,2000-02-29,19128,SERRA DA MESA,1569.0,TOCANTINS,TOCANTINS,GO,2000,2
1122677,2000-03-05,19128,SERRA DA MESA,1529.0,TOCANTINS,TOCANTINS,GO,2000,3
1122678,2000-03-07,19128,SERRA DA MESA,1229.0,TOCANTINS,TOCANTINS,GO,2000,3
1122679,2000-03-10,19128,SERRA DA MESA,1242.0,TOCANTINS,TOCANTINS,GO,2000,3
