"station","lon","lat","alt","area","name","city","state","uf","basin","subbasin","river","class","Escala","RegistradorNivel","DescLiquida","Sedimentos","QualAgua","Pluviometro","RegistradorChuva","TanqueEvapo","Climatologica","Piezometria","Telemetrica"
10010000,-78.51,-1.25,NA,NA,"PATATE DJ AMBATO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO NAPO","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
10010900,-78.7731,-0.7758,3060,91,"NEGRO AJ PUMANCUCHI","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO PASTAZA","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
10011000,-78.6903,-1.0617,2960,275,"NAGSICHE P E CUSUBAMBA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO PASTAZA","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
10011100,-78.6628,-1.2589,2680,763,"AMBATO EN AMBATO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO PASTAZA","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
10011200,-78.5494,-1.2364,2310,407,"PACHANLICA AJ AMBATO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO PASTAZA","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
10011300,-78.4211,-1.3897,1729,7983,"PASTAZA EN BANOS","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO PASTAZA","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
10011400,-78.5978,-2.2453,3715,64,"OZOGOCHE EN LOS LAGOS","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO PASTAZA","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
10011500,-78.5111,-1.8697,3200,117,"ALAO EN HDA ALAO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO PASTAZA","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
10011600,-78.4481,-1.53,2460,223,"PUELA AJ CHAMBO","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO PASTAZA","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
10011700,-78.6022,-1.8675,2828,195,"GUARGUALLA AJ CEBADAS","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO PASTAZA","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
10011800,-78.4075,-1.0669,3480,77,"PISAYAMBO AJ QUILLOPACCHA","EQUADOR","EQUADOR","EQ","RIO AMAZONAS","RIO SOLIMOES, JAVARI,ITACUAI","RIO PASTAZA","Fluviometric",1,0,1,0,0,0,0,0,0,0,0
