,station,lon,lat,alt,area,name,city,state,uf,basin,subbasin,river
138,10100000,-69.9447,-4.2347,78.0,874000.0,TABATINGA,TABATINGA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES, JAVARI,ITACUAI",RIO SOLIMOES/AMAZONAS
139,10200000,-72.8136,-5.1389,142.0,16500.0,PALMEIRAS DO JAVARI,ATALAIA DO NORTE,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES, JAVARI,ITACUAI",RIO JAVARI
140,10300000,-71.4003,-4.5397,114.0,25200.0,SANTA MARIA/FLORES,ATALAIA DO NORTE,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES, JAVARI,ITACUAI",RIO CURUCA
141,10500000,-70.9056,-4.3408,89.0,61400.0,ESTIRAO DO REPOUSO,ATALAIA DO NORTE,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES, JAVARI,ITACUAI",RIO JAVARI
142,10600000,-70.1833,-4.3667,81.0,108000.0,ATALAIA DO NORTE,ATALAIA DO NORTE,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES, JAVARI,ITACUAI",RIO JAVARI
143,10700000,-70.75,-5.1833,112.0,16100.0,RESTAURACAO,ATALAIA DO NORTE,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES, JAVARI,ITACUAI",RIO ITUI
144,10800000,-70.3,-4.7333,,19200.0,SERINGAL DO ITUI,ATALAIA DO NORTE,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES, JAVARI,ITACUAI",RIO ITUI
145,10900000,-70.3,-4.7333,,19200.0,LADARIO,ATALAIA DO NORTE,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES, JAVARI,ITACUAI",RIO ITUI
146,10910000,-70.2644,-4.5836,91.0,36900.0,LADARIO - JUSANTE,ATALAIA DO NORTE,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES, JAVARI,ITACUAI",RIO ITACUAI
147,10990000,-69.9161,-4.4053,,109000.0,ESPERANCA,BENJAMIN CONSTANT,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES, JAVARI,ITACUAI",RIO SOLIMOES/AMAZONAS
175,11200000,-69.7336,-4.3578,,985000.0,TERESINA,TABATINGA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,ICA,JANDIATUBA,..",
176,11300000,-69.0167,-3.4353,,994000.0,SAO PAULO DE OLIVENCA,SAO PAULO DE OLIVENCA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,ICA,JANDIATUBA,..",
177,11400000,-68.9119,-3.4569,71.0,1010000.0,SAO PAULO DE OLIVENCA,SAO PAULO DE OLIVENCA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,ICA,JANDIATUBA,..",
178,11420000,-68.9528,-3.9917,,11700.0,TRES BOCAS,SAO PAULO DE OLIVENCA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,ICA,JANDIATUBA,..",RIO JANDIATUBA
179,11444900,-69.6931,-2.9297,101.0,106000.0,IPIRANGA NOVO,SANTO ANTONIO DO ICA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,ICA,JANDIATUBA,..",RIO PUTUMAYO/ICA
180,11450000,-69.5228,-2.9417,95.0,107000.0,IPIRANGA VELHO,SANTO ANTONIO DO ICA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,ICA,JANDIATUBA,..",RIO PUTUMAYO/ICA
181,11500000,-67.9356,-3.1017,53.0,1130000.0,SANTO ANTONIO DO ICA,SANTO ANTONIO DO ICA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,ICA,JANDIATUBA,..",
182,12100000,-68.3244,-4.6514,,10700.0,COLOCACAO CAXIAS NOVO,JUTAI,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JUTAI
183,12150000,-68.6633,-4.8967,,17600.0,CONCEICAO (EX. ILHA DA NOVA SORTE),JUTAI,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JUTAI
184,12180000,-68.1353,-4.745,,12700.0,TANIBUCA,JUTAI,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO MUTUM
185,12200000,-67.8925,-4.2211,,35500.0,BARREIRA ALTA,JUTAI,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JUTAI
186,12210000,-67.8164,-4.1469,,36200.0,BARREIRA ALTA NOVA,JUTAI,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JUTAI
187,12230000,-67.3444,-4.3256,,11047.0,BARREIRA BRANCA,JUTAI,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO BIA
188,12240000,-67.4917,-3.3372,,64400.0,PORTO SEGURO,JUTAI,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JUTAI
189,12250000,-66.9311,-2.8572,,77100.0,PORTO ANTUNES,JUTAI,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JUTAI
190,12260000,-66.9167,-2.8333,,77200.0,COPATANA (PORTO ANTUNES AUX),JUTAI,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JUTAI
191,12350000,-66.0267,-2.4853,,1220000.0,FONTE BOA,FONTE BOA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",
192,12351000,-66.0617,-2.4914,,1220000.0,FONTE BOA,FONTE BOA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",
193,12360000,-72.7158,-9.4097,,7690.0,FOZ DO BREU,MARECHAL THAUMATURGO,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
194,12360001,-72.7158,-9.4097,,,MARECHAL THAUMATURGO,MARECHAL THAUMATURGO,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
195,12369000,-72.7706,-8.9364,,,MARECHAL THAUMATURGO,MARECHAL THAUMATURGO,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
196,12370000,-72.7844,-8.9458,,16100.0,THAUMATURGO,MARECHAL THAUMATURGO,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
197,12389000,-72.7444,-8.2264,,,PORTO WALTER,PORTO WALTER,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
198,12390000,-72.7411,-8.2672,,22200.0,PORTO WALTER,PORTO WALTER,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
199,12400000,-73.6644,-7.4483,,1030.0,SERRA DO MOA,MANCIO LIMA,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO MOA
200,12420000,-73.1914,-7.4125,,5720.0,BASE SAO SALVADOR,MANCIO LIMA,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO MOA
201,12430000,-72.7961,-7.6219,,,PONTE DO MOA,MANCIO LIMA,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO MOA
202,12500000,-72.6603,-7.6333,,37800.0,CRUZEIRO DO SUL,CRUZEIRO DO SUL,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
203,12500002,-72.6617,-7.6331,,37800.0,CRUZEIRO DO SUL,CRUZEIRO DO SUL,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
204,12500003,-72.6617,-7.6331,,37800.0,CRUZEIRO DO SUL - AUXILIAR,CRUZEIRO DO SUL,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
205,12500004,-72.6617,-7.6331,,,CRUZEIRO DO SUL,CRUZEIRO DO SUL,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
206,12500900,-72.0444,-7.9728,181.0,,COMUNIDADE GUARANI,CRUZEIRO DO SUL,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO LIBERDADE
207,12510000,-72.0547,-7.8492,,3400.0,SERINGAL BOM FUTURO,TARAUACA,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO LIBERDADE
208,12510500,-72.0211,-7.7994,189.0,,PONTE DO RIO LIBERDADE,TARAUACA,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO LIBERDADE
209,12511000,-71.7194,-7.0628,,545.0,HUMAITA,IPIXUNA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO IPIXUNA
210,12520000,-71.6892,-7.0556,,56100.0,IPIXUNA,IPIXUNA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
211,12530000,-71.4822,-7.9511,,2070.0,FAZENDA PARANACRE,TARAUACA,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO GREGORIO
212,12540000,-70.9833,-7.2667,,7350.0,SERINGAL SANTO AMARO,EIRUNEPE,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO GREGORIO
213,12550000,-69.8811,-6.6844,,77300.0,EIRUNEPE - MONTANTE,EIRUNEPE,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
214,12555000,-69.9181,-6.8925,,3960.0,FAZENDA MOURAO,EIRUNEPE,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO EIRU (OU GUABIRU-PARANA)
215,12557000,-71.9525,-9.1883,,,JORDAO,JORDAO,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO TARAUACA
216,12559000,-71.5744,-8.6611,,,SERINGAL SAO LUIZ,JORDAO,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO TARAUACA
217,12560000,-71.5517,-8.6181,,5360.0,SERINGAL SAO LUIZ,TARAUACA,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO TARAUACA
218,12561000,-71.5517,-8.6181,,,TARAUACA,TARAUACA,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO TARAUACA
219,12590000,-70.8261,-8.1606,,,PONTE DE TARAUACA,TARAUACA,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO TARAUACA
220,12600000,-69.8667,-6.6667,,77400.0,EIRUNEPE - JOAO PESSOA,EIRUNEPE,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
221,12600001,-70.7153,-8.1458,,15600.0,TARAUACA - JUSANTE,TARAUACA,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO TARAUACA
222,12600002,-70.7153,-8.1458,,,TARAUACA,TARAUACA,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO TARAUACA
223,12630000,-71.0661,-8.7528,202.0,163.0,SERINGAL MUCURIPE,TARAUACA,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO MURU
224,12640000,-70.5511,-8.6858,,12800.0,SERINGAL SANTA HELENA,FEIJO,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO ENVIRA
225,12650000,-70.3564,-8.1636,,17000.0,FEIJO,FEIJO,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO ENVIRA
226,12660000,-70.3461,-8.1367,,,FEIJO,FEIJO,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO ENVIRA
227,12670000,-70.0625,-7.8533,,,FEIJO,FEIJO,ACRE,AC,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO ENVIRA
228,12680000,-70.0225,-7.4281,,49700.0,ENVIRA,ENVIRA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO TARAUACA
229,12700000,-68.2461,-6.4403,,144000.0,SANTOS DUMONT,ITAMARATI,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
230,12800000,-66.8242,-4.91,,163000.0,CARAUARI,CARAUARI,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
231,12840000,-66.8506,-4.8392,,164000.0,GAVIAO,CARAUARI,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
232,12842000,-66.1031,-3.6414,,174000.0,FORTE DAS GRACAS,JURUA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO JURUA
281,12845000,-69.4283,-1.3947,,206000.0,VILA BITTENCOURT,JAPURA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO CAQUETA/JAPURA
282,12850000,-66.6092,-1.8211,,249000.0,ACANAUI,JAPURA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO CAQUETA/JAPURA
283,12860000,-66.55,-1.6,,,ABACATAL,JAPURA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO BOA-BOA (PUA-PUA)
284,12870000,-66.4169,-2.1003,,3880.0,BARREIRINHA,FONTE BOA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO AUATI-PARANA
285,12872000,-65.5989,-1.8611,,263000.0,MARAA,MARAA,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",RIO CAQUETA/JAPURA
286,12873000,-64.7675,-3.2461,,1700000.0,LARANJAL,ALVARAES,AMAZONAS,AM,RIO AMAZONAS,"RIO SOLIMOES,JURUA,JAPURA,....",
