,data,subsistema,id_empreendimento_aneel,id_reservatorio_planejamento,id_posto_vazao,reservatorio_equivalente,reservatorio,tipo_reservatorio,usina,bacia,rio,cota_maxima,cota_minima,volume_maximo,volume_minimo,volume_util,produtividade_especifica,produtividade_65_volume_util,tipo_perda,perda_carga,latitude,longitude,sistema,codigo,estado_sigla
0,2007-02-03,SUL,UHE.PH.SC.027401-1.01,9,216,SUL,CAMPOS NOVOS,RESERVATORIO COM USINA,CAMPOS NOVOS,URUGUAI,CANOAS,660.0,655.0,1477.0,1320.0,129.62,0.009083,1.6063,m,2.48,-27.60305556,-51.32361111,sin,19068,SC
1,2005-11-01,SUL,UHE.PH.RS.027556-5.01,86,215,SUL,BARRA GRANDE,RESERVATORIO COM USINA,BARRA GRANDE,URUGUAI,PELOTAS,647.0,617.0,4904.45,2711.79,2192.66,0.009218,1.4153,m,2.79,-27.77722222,-51.18861111,sin,19067,SC
2,2005-11-01,SUL,UHE.PH.RS.027556-5.01,86,215,SUL,BARRA GRANDE,RESERVATORIO COM USINA,BARRA GRANDE,URUGUAI,PELOTAS,647.0,617.0,4904.45,2711.79,2192.66,0.009218,1.4153,m,2.79,-27.77722222,-51.18861111,sin,19067,RS
3,2013-09-24,SUL,UHE.PH.SC.030415-8.01,89,89,SUL,GARIBALDI,RESERVATORIO COM USINA,GARIBALDI,URUGUAI,CANOAS,705.0,702.5,296.0,232.0,64.23,0.008626,0.3691,m,1.19,-27.62472222,-50.98388889,sin,19147,SC
4,2002-02-16,SUL,UHE.PH.SC.001356-0.01,91,217,SUL,MACHADINHO,RESERVATORIO COM USINA,MACHADINHO,URUGUAI,URUGUAI,480.0,465.0,3340.0,2283.0,1055.81,0.009034,0.8779,m,1.48,-27.52444444,-51.78888889,sin,19069,SC
5,2002-02-16,SUL,UHE.PH.SC.001356-0.01,91,217,SUL,MACHADINHO,RESERVATORIO COM USINA,MACHADINHO,URUGUAI,URUGUAI,480.0,465.0,3340.0,2283.0,1055.81,0.009034,0.8779,m,1.48,-27.52444444,-51.78888889,sin,19069,RS
6,1973-03-21,SUL,UHE.PH.RS.002001-0.01,93,93,SUL,PASSO FUNDO,RESERVATORIO COM USINA,PASSO FUNDO,URUGUAI,PASSO FUNDO,598.0,584.0,1589.0,185.0,1404.61,0.008805,2.2252,m,6.07,-27.55388889,-52.74083333,sin,19071,RS
7,2009-09-01,SUL,UHE.PH.RS.028562-5.01,94,22,SUL,MONJOLINHO,FIO DAGUA,MONJOLINHO (ANTIGA ALZIR DOS SANTOS ANTUNES),URUGUAI,PASSO FUNDO,328.5,326.5,150.48,150.48,10.98,0.008795,0.54,m,1.67,-27.34416667,-52.73111111,sin,19072,RS
8,2003-12-23,SUL,UHE.PH.SC.002167-9.01,95,286,SUL,QUEBRA QUEIXO,RESERVATORIO COM USINA,QUEBRA QUEIXO,URUGUAI,CHAPECO,549.0,544.0,137.0,111.0,25.51,0.008718,1.035,m,2.16,-26.66777778,-52.55472222,sin,19074,SC
9,2008-03-04,SUL,UHE.PH.RS.000718-8.01,97,98,SUL,CASTRO ALVES,FIO DAGUA,CASTRO ALVES,JACUI,TAQUARI-ANTAS,240.0,239.0,92.0,87.0,4.6,0.008954,0.7676,m,6.62,-29.00444444,-51.38416667,sin,19081,RS
10,2004-12-29,SUL,UHE.PH.RS.027968-4.01,98,97,SUL,MONTE CLARO,FIO DAGUA,MONTE CLARO,JACUI,TAQUARI-ANTAS,148.0,147.0,11.28,10.1,1.45,0.008916,0.3541,m,1.39,-29.02361111,-51.53222222,sin,19082,RS
11,2008-12-25,SUL,UHE.PH.RS.000012-4.01,99,284,SUL,14 DE JULHO,FIO DAGUA,14 DE JULHO,JACUI,TAQUARI-ANTAS,104.0,103.0,55.18,50.47,4.71,0.008927,0.3016,m,0.74,-29.06944444,-51.67527778,sin,19083,RS
12,2011-03-29,SUL,UHE.PH.RS.029459-4.01,101,102,SUL,SAO JOSE,FIO DAGUA,SAO JOSE,URUGUAI,IJUI,154.67,153.67,188.11,165.53,22.58,0.008909,0.1878,m,0.25,-28.17694444,-54.81333333,sin,19075,RS
13,2012-03-24,SUL,UHE.PH.RS.029456-0.01,102,103,SUL,PASSO SAO JOAO,FIO DAGUA,PASSO SAO JOAO,URUGUAI,IJUI,128.35,127.35,102.4,83.905,18.495,0.008935,0.2545,m,0.37,-28.14083333,-55.05194444,sin,19149,RS
14,2010-10-14,SUL,UHE.PH.RS.028354-1.01,103,94,SUL,FOZ CHAPECO,FIO DAGUA,FOZ DO CHAPECO,URUGUAI,URUGUAI,265.0,264.0,1513.0,1512.0,78.81,0.00887,0.4506,m,1.39,-27.13972222,-53.0475,sin,19073,SC
15,2010-10-14,SUL,UHE.PH.RS.028354-1.01,103,94,SUL,FOZ CHAPECO,FIO DAGUA,FOZ DO CHAPECO,URUGUAI,URUGUAI,265.0,264.0,1513.0,1512.0,78.81,0.00887,0.4506,m,1.39,-27.13972222,-53.0475,sin,19073,RS
16,1973-01-01,SUL,UHE.PH.RS.002003-6.01,111,111,SUL,PASSO REAL,RESERVATORIO COM USINA,PASSO REAL,JACUI,JACUI,327.0,300.0,3646.0,289.0,3356.8,0.009048,0.3682,m,0.7,-29.01527778,-53.18722222,sin,19077,RS
17,1962-03-01,SUL,UHE.PH.RS.001217-3.01,112,112,SUL,JACUI,FIO DAGUA,JACUI,JACUI,JACUI,279.89,270.37,29.0,29.0,24.39,0.008731,0.7951,m,2.55,-29.07916667,-53.225,sin,19078,RS
18,1978-02-01,SUL,UHE.PH.RS.027019-9.01,113,113,SUL,ITAUBA,FIO DAGUA,ITAUBA,JACUI,JACUI,184.0,171.0,620.0,620.0,158.2,0.00908,0.7554,m,3.3,-29.25888889,-53.23611111,sin,19079,RS
19,2001-02-05,SUL,UHE.PH.RS.027012-1.01,114,114,SUL,D. FRANCISCA,FIO DAGUA,DONA FRANCISCA,JACUI,JACUI,94.49,91.0,330.0,330.0,62.56,0.008765,0.3356,m,0.36,-29.44944444,-53.28333333,sin,19080,RS
20,1970-10-25,SUL,UHE.PH.PR.001042-1.01,115,115,SUL,G. P. SOUZA,RESERVATORIO COM USINA,GOVERNADOR PEDRO VIRIATO PARIGOT DE SOUZA,CAPIVARI,CAPIVARI,845.0,822.0,179.0,23.0,156.0,0.008756,6.3542,m,23.78,-25.13944444,-48.87388889,sin,19084,PR
21,2009-12-11,SUL,UHE.PH.SC.028564-1.01,215,101,SUL,SALTO PILAO,FIO DAGUA,SALTO PILAO,ITAJAI,ITAJAI,319.0,318.0,0.02,0.01,0.01,0.008916,1.7641,m,7.77,-27.13611111,-49.52027778,sin,19085,SC
22,2011-04-29,NORTE,UHE.PH.MA.028863-2.01,267,271,NORTE,ESTREITO,FIO DAGUA,ESTREITO,TOCANTINS,TOCANTINS,156.0,151.0,5298.54,2907.66,2390.87,0.009079,0.211,m,0.33,-6.588611111,-47.46388889,nordeste_semiarido,12175,PI
23,2011-04-29,NORTE,UHE.PH.MA.028863-2.01,267,271,NORTE,ESTREITO,FIO DAGUA,ESTREITO,TOCANTINS,TOCANTINS,156.0,151.0,5298.54,2907.66,2390.87,0.009079,0.211,m,0.33,-6.588611111,-47.46388889,nordeste_semiarido,12176,BA
24,2011-04-29,NORTE,UHE.PH.MA.028863-2.01,267,271,NORTE,ESTREITO,FIO DAGUA,ESTREITO,TOCANTINS,TOCANTINS,156.0,151.0,5298.54,2907.66,2390.87,0.009079,0.211,m,0.33,-6.588611111,-47.46388889,sin,19133,MA
25,1984-04-30,NORTE,UHE.PH.PA.002889-4.01,275,275,NORTE,TUCURUI,RESERVATORIO COM USINA,TUCURUI,TOCANTINS,TOCANTINS,74.0,51.6,50275.0,11293.0,38982.4,0.00906,0.5496,m,0.9,-3.834166667,-49.64527778,sin,19134,PA
26,2012-11-23,SUL,UHE.PH.PR.029598-1.01,57,57,IGUACU,MAUA,RESERVATORIO COM USINA,GOVERNADOR JAYME CANET JUNIOR (ANTIGA MAUA),PARANAPANEMA,TIBAGI,635.0,626.0,2137.0,1473.0,667.0,0.009029,1.0494,m,2.91,-24.0625,-50.70805556,sin,19142,PR
27,2005-07-31,SUL,UHE.PH.PR.028361-4.01,71,71,IGUACU,SANTA CLARA-PR,RESERVATORIO COM USINA,SANTA CLARA,IGUACU,JORDAO,805.0,787.5,431.0,169.0,262.07,0.008985,0.8126,m,2.39,-25.64611111,-51.95611111,sin,19061,PR
28,1980-10-01,SUL,UHE.PH.PR.000984-9.01,74,74,IGUACU,G. B. MUNHOZ,RESERVATORIO COM USINA,GOVERNADOR BENTO MUNHOZ DA ROCHA NETTO,IGUACU,IGUACU,742.0,700.0,5779.0,1974.0,3804.69,0.008952,1.0938,m,2.31,-26.00944444,-51.66472222,sin,19059,PR
29,1992-09-26,SUL,UHE.PH.PR.002715-4.01,76,76,IGUACU,SEGREDO,RESERVATORIO COM USINA,GOVERNADOR NEY AMINTHAS DE BARROS BRAGA (SEGREDO),IGUACU,IGUACU,607.0,602.0,2950.0,2562.0,383.68,0.008865,0.904,m,1.65,-25.79222222,-52.11638889,sin,19060,PR
30,1980-12-31,SUL,UHE.PH.PR.002672-7.01,77,77,IGUACU,SALTO SANTIAGO,RESERVATORIO COM USINA,SALTO SANTIAGO,IGUACU,IGUACU,506.0,481.0,6775.0,2662.0,4112.92,0.009047,0.8921,m,1.92,-25.62777778,-52.60805556,sin,19064,PR
31,1975-10-17,SUL,UHE.PH.PR.002659-0.01,78,78,IGUACU,SALTO OSORIO,FIO DAGUA,SALTO OSORIO,IGUACU,IGUACU,397.0,389.0,1124.0,1124.0,402.67,0.008488,0.5747,m,1.59,-25.53694444,-53.00777778,sin,19065,PR
32,1999-02-18,SUL,UHE.PH.PR.002591-7.01,82,222,IGUACU,SALTO CAXIAS,FIO DAGUA,GOVERNADOR JOSE RICHA (SALTO CAXIAS),IGUACU,IGUACU,325.0,323.0,3573.0,3573.0,272.76,0.008667,0.5596,m,0.8,-25.54083333,-53.49444444,sin,19066,PR
33,1984-02-01,SUDESTE/CENTRO-OESTE,UHE.PH.PR.001161-4.01,66,266,ITAIPU,ITAIPU,FIO DAGUA,ITAIPU 50 HZ,PARANA,PARANA,220.3,219.0,29403.91,27695.19,19000.0,0.009037,1.0244,m,1.33,-25.40472222,-54.58833333,sin,19058,PR
34,1987-01-01,SUDESTE/CENTRO-OESTE,UHE.PH.PR.001161-4.01,66,266,ITAIPU,ITAIPU,FIO DAGUA,ITAIPU (PARTE BRASILEIRA),PARANA,PARANA,220.3,219.0,29403.91,27695.19,19000.0,0.009037,1.0244,m,1.33,-25.40472222,-54.58833333,sin,19058,PR
35,1960-03-01,SUDESTE/CENTRO-OESTE,UHE.PH.MG.000608-4.01,1,1,PARANA,CAMARGOS,RESERVATORIO COM USINA,CAMARGOS,GRANDE,GRANDE,913.0,899.0,792.0,120.0,672.0,0.008767,0.2076,m,0.1,-21.32555556,-44.61666667,sin,19001,MG
36,1999-01-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.001098-7.01,1,1,PARANA,IGARAPAVA,FIO DAGUA,IGARAPAVA,GRANDE,GRANDE,512.2,511.8,480.0,480.0,14.61,0.008996,0.1523,m,0.17,-19.99027778,-47.75416667,sin,19008,MG
