,COD UF,Sigla_estado,COD,Nome do municipio
0,35, SP,3500105,Adamantina
1,35, SP,3500204,Adolfo
2,35, SP,3500303,Aguaí
3,35, SP,3500402,Águas da Prata
4,35, SP,3500501,Águas de Lindóia
5,35, SP,3500550,Águas de Santa Bárbara
6,35, SP,3500600,Águas de São Pedro
7,35, SP,3500709,Agudos
8,35, SP,3500758,Alambari
9,35, SP,3500808,Alfredo Marcondes
10,35, SP,3500907,Altair
11,35, SP,3501004,Altinópolis
12,35, SP,3501103,Alto Alegre
13,35, SP,3501152,Alumínio
14,35, SP,3501202,Álvares Florence
15,35, SP,3501301,Álvares Machado
16,35, SP,3501400,Álvaro de Carvalho
17,35, SP,3501509,Alvinlândia
18,35, SP,3501608,Americana
19,35, SP,3501707,Américo Brasiliense
20,35, SP,3501806,Américo de Campos
21,35, SP,3501905,Amparo
22,35, SP,3502002,Analândia
23,35, SP,3502101,Andradina
24,35, SP,3502200,Angatuba
25,35, SP,3502309,Anhembi
26,35, SP,3502408,Anhumas
27,35, SP,3502507,Aparecida
28,35, SP,3502606,Aparecida D'oeste
29,35, SP,3502705,Apiaí
30,35, SP,3502754,Araçariguama
31,35, SP,3502804,Araçatuba
32,35, SP,3502903,Araçoiaba da Serra
33,35, SP,3503000,Aramina
34,35, SP,3503109,Arandu
35,35, SP,3503158,Arapeí
36,35, SP,3503208,Araraquara
37,35, SP,3503307,Araras
38,35, SP,3503356,Arco-Íris
39,35, SP,3503406,Arealva
40,35, SP,3503505,Areias
41,35, SP,3503604,Areiópolis
42,35, SP,3503703,Ariranha
43,35, SP,3503802,Artur Nogueira
44,35, SP,3503901,Arujá
45,35, SP,3503950,Aspásia
46,35, SP,3504008,Assis
47,35, SP,3504107,Atibaia
48,35, SP,3504206,Auriflama
49,35, SP,3504305,Avaí
50,35, SP,3504404,Avanhandava
51,35, SP,3504503,Avaré
52,35, SP,3504602,Bady Bassitt
53,35, SP,3504701,Balbinos
54,35, SP,3504800,Bálsamo
55,35, SP,3504909,Bananal
56,35, SP,3505005,Barão de Antonina
57,35, SP,3505104,Barbosa
58,35, SP,3505203,Bariri
59,35, SP,3505302,Barra Bonita
60,35, SP,3505351,Barra do Chapéu
61,35, SP,3505401,Barra do Turvo
62,35, SP,3505500,Barretos
63,35, SP,3505609,Barrinha
64,35, SP,3505708,Barueri
65,35, SP,3505807,Bastos
66,35, SP,3505906,Batatais
67,35, SP,3506003,Bauru
68,35, SP,3506102,Bebedouro
69,35, SP,3506201,Bento de Abreu
70,35, SP,3506300,Bernardino de Campos
71,35, SP,3506359,Bertioga
72,35, SP,3506409,Bilac
73,35, SP,3506508,Birigui
74,35, SP,3506607,Biritiba-Mirim
75,35, SP,3506706,Boa Esperança do Sul
76,35, SP,3506805,Bocaina
77,35, SP,3506904,Bofete
78,35, SP,3507001,Boituva
79,35, SP,3507100,Bom Jesus dos Perdões
80,35, SP,3507159,Bom Sucesso de Itararé
81,35, SP,3507209,Borá
82,35, SP,3507308,Boracéia
83,35, SP,3507407,Borborema
84,35, SP,3507456,Borebi
85,35, SP,3507506,Botucatu
86,35, SP,3507605,Bragança Paulista
87,35, SP,3507704,Braúna
88,35, SP,3507753,Brejo Alegre
89,35, SP,3507803,Brodowski
90,35, SP,3507902,Brotas
91,35, SP,3508009,Buri
92,35, SP,3508108,Buritama
93,35, SP,3508207,Buritizal
94,35, SP,3508306,Cabrália Paulista
95,35, SP,3508405,Cabreúva
96,35, SP,3508504,Caçapava
97,35, SP,3508603,Cachoeira Paulista
98,35, SP,3508702,Caconde
99,35, SP,3508801,Cafelândia
100,35, SP,3508900,Caiabu
101,35, SP,3509007,Caieiras
102,35, SP,3509106,Caiuá
103,35, SP,3509205,Cajamar
104,35, SP,3509254,Cajati
105,35, SP,3509304,Cajobi
106,35, SP,3509403,Cajuru
107,35, SP,3509452,Campina do Monte Alegre
108,35, SP,3509502,Campinas
109,35, SP,3509601,Campo Limpo Paulista
110,35, SP,3509700,Campos do Jordão
111,35, SP,3509809,Campos Novos Paulista
112,35, SP,3509908,Cananéia
113,35, SP,3509957,Canas
114,35, SP,3510005,Cândido Mota
115,35, SP,3510104,Cândido Rodrigues
116,35, SP,3510153,Canitar
117,35, SP,3510203,Capão Bonito
118,35, SP,3510302,Capela do Alto
119,35, SP,3510401,Capivari
120,35, SP,3510500,Caraguatatuba
121,35, SP,3510609,Carapicuíba
122,35, SP,3510708,Cardoso
123,35, SP,3510807,Casa Branca
124,35, SP,3510906,Cássia dos Coqueiros
125,35, SP,3511003,Castilho
126,35, SP,3511102,Catanduva
127,35, SP,3511201,Catiguá
128,35, SP,3511300,Cedral
129,35, SP,3511409,Cerqueira César
130,35, SP,3511508,Cerquilho
131,35, SP,3511607,Cesário Lange
132,35, SP,3511706,Charqueada
133,35, SP,3511904,Clementina
134,35, SP,3512001,Colina
135,35, SP,3512100,Colômbia
136,35, SP,3512209,Conchal
137,35, SP,3512308,Conchas
138,35, SP,3512407,Cordeirópolis
139,35, SP,3512506,Coroados
140,35, SP,3512605,Coronel Macedo
141,35, SP,3512704,Corumbataí
142,35, SP,3512803,Cosmópolis
143,35, SP,3512902,Cosmorama
144,35, SP,3513009,Cotia
145,35, SP,3513108,Cravinhos
146,35, SP,3513207,Cristais Paulista
147,35, SP,3513306,Cruzália
148,35, SP,3513405,Cruzeiro
149,35, SP,3513504,Cubatão
150,35, SP,3513603,Cunha
151,35, SP,3513702,descalvado
152,35, SP,3513801,Diadema
153,35, SP,3513850,Dirce Reis
154,35, SP,3513900,Divinolândia
155,35, SP,3514007,dobrada
156,35, SP,3514106,dois Córregos
157,35, SP,3514205,dolcinópolis
158,35, SP,3514304,dourado
159,35, SP,3514403,Dracena
160,35, SP,3514502,Duartina
161,35, SP,3514601,Dumont
162,35, SP,3514700,Echaporã
163,35, SP,3514809,Eldorado
164,35, SP,3514908,Elias Fausto
165,35, SP,3514924,Elisiário
166,35, SP,3514957,Embaúba
167,35, SP,3515004,Embu das Artes
168,35, SP,3515103,Embu-Guaçu
169,35, SP,3515129,Emilianópolis
170,35, SP,3515152,Engenheiro Coelho
171,35, SP,3515186,Espírito Santo do Pinhal
172,35, SP,3515194,Espírito Santo do Turvo
173,35, SP,3515202,Estrela D'oeste
174,35, SP,3515301,Estrela do Norte
175,35, SP,3515350,Euclides da Cunha Paulista
176,35, SP,3515400,Fartura
177,35, SP,3515509,Fernandópolis
178,35, SP,3515608,Fernando Prestes
179,35, SP,3515657,Fernão
